channel,method,snr_bin_low,snr_bin_high,snr_bin_center,n_traces,median_delta_A,q16_delta_A,q84_delta_A,sigma68_delta_A,mean_delta_A,std_delta_A,median_abs_delta_A
Z,noisy,5.0,6.0,5.5,1027,0.04963064193725586,-0.13347718477249146,0.20993289470672602,0.17170503973960874,0.04441334307193756,0.17005014419555664,0.1193850040435791
Z,noisy,6.0,7.0,6.5,796,0.024518728256225586,-0.12272496223449707,0.1694229125976562,0.14607393741607663,0.02406180649995804,0.15130653977394104,0.09940105676651001
Z,noisy,7.0,8.0,7.5,669,0.013670682907104492,-0.10397681713104248,0.14678116321563722,0.12537899017333987,0.0157607588917017,0.13012488186359406,0.0860908031463623
Z,noisy,8.0,9.0,8.5,499,0.015997886657714844,-0.08434691905975342,0.12851820468902586,0.10643256187438964,0.016808923333883286,0.11399194598197937,0.07055974006652832
Z,noisy,9.0,10.0,9.5,411,0.014940142631530762,-0.09033280611038208,0.11109805107116698,0.10071542859077454,0.010341049171984196,0.10396599769592285,0.062404751777648926
Z,denoised,1.0,2.0,1.5,6424,-0.4072427749633789,-0.9921720790863037,0.006127171516418436,0.49914962530136103,-0.45070862770080566,0.43410104513168335,0.4278503358364105
Z,denoised,2.0,3.0,2.5,3362,-0.168611079454422,-0.4068241858482361,0.03298573493957515,0.2199049603939056,-0.18769484758377075,0.2540346384048462,0.19332093000411987
Z,denoised,3.0,4.0,3.5,2032,-0.1348089873790741,-0.32043597698211673,0.024764761924743653,0.17260036945343019,-0.14818443357944489,0.19492094218730927,0.15297755599021912
Z,denoised,4.0,5.0,4.5,1460,-0.12267997860908508,-0.2919303417205811,0.003723158836364722,0.1478267502784729,-0.13719959557056427,0.18035180866718292,0.13666263222694397
Z,denoised,5.0,6.0,5.5,1027,-0.11432570219039917,-0.2871824216842651,0.008156614303588852,0.14766951799392697,-0.13461905717849731,0.17904464900493622,0.12630951404571533
Z,denoised,6.0,7.0,6.5,796,-0.11838430166244507,-0.29182039499282836,-0.012670600414276171,0.1395748972892761,-0.14729560911655426,0.16654358804225922,0.12298583984375
Z,denoised,7.0,8.0,7.5,669,-0.10168814659118652,-0.2502232265472412,-0.005917232036590572,0.12215299725532533,-0.12560419738292694,0.15966594219207764,0.10703355073928833
Z,denoised,8.0,9.0,8.5,499,-0.11105197668075562,-0.27949890375137326,-0.0115813946723938,0.13395875453948974,-0.14023827016353607,0.15894055366516113,0.11829781532287598
Z,denoised,9.0,10.0,9.5,411,-0.1117163896560669,-0.2868672847747803,-0.010133183002471933,0.13836705088615417,-0.1432245969772339,0.15712738037109375,0.11970382928848267
