channel,method,snr_bin_low,snr_bin_high,snr_bin_center,n_traces,median_delta_A,q16_delta_A,q84_delta_A,sigma68_delta_A,mean_delta_A,std_delta_A,median_abs_delta_A
Z,noisy,9.0,10.0,9.5,309,-0.001978456974029541,-0.04570071220397949,0.04595858097076416,0.045829646587371826,-0.0026774366851896048,0.053740859031677246,0.02953922748565674
Z,denoised,1.0,2.0,1.5,6250,-0.11467918753623962,-0.6094450545310974,0.46508480072021485,0.5372649276256561,-0.053627416491508484,0.54852694272995,0.3437466025352478
Z,denoised,2.0,3.0,2.5,3187,-0.002772390842437744,-0.2645137786865234,0.4890692138671872,0.3767914962768553,0.09466627240180969,0.42841604351997375,0.22393518686294556
Z,denoised,3.0,4.0,3.5,2039,0.05892360210418701,-0.20211806535720825,0.5047601175308224,0.3534390914440153,0.14103242754936218,0.399294376373291,0.21404337882995605
Z,denoised,4.0,5.0,4.5,1397,0.06943893432617188,-0.18485677242279053,0.5264164304733275,0.35563660144805903,0.1560996174812317,0.3964737057685852,0.21721100807189941
Z,denoised,5.0,6.0,5.5,1017,0.09551489353179932,-0.19753541707992553,0.49852856636047355,0.34803199172019955,0.1331658959388733,0.34938400983810425,0.228293776512146
Z,denoised,6.0,7.0,6.5,837,0.09056127071380615,-0.18567554235458375,0.506100263595581,0.3458879029750824,0.13411743938922882,0.35543444752693176,0.22881197929382324
Z,denoised,7.0,8.0,7.5,613,0.063667893409729,-0.1845127296447754,0.48142701148986805,0.33296987056732175,0.12134920060634613,0.3654574751853943,0.21128374338150024
Z,denoised,8.0,9.0,8.5,481,0.07601046562194824,-0.21296499967575075,0.46591863632202146,0.3394418179988861,0.10588346421718597,0.3559243679046631,0.2534864544868469
Z,denoised,9.0,10.0,9.5,309,0.1464449167251587,-0.21017491340637207,0.48635311603546133,0.3482640147209167,0.14269980788230896,0.3574390411376953,0.2853809595108032
